Humidity,Apparent Temperature (C)
0.89,7.388888889
0.86,7.227777778
0.89,9.377777778
0.83,5.944444444
0.83,6.977777778
0.85,7.111111111
0.95,5.522222222
0.89,6.527777778
0.82,10.82222222
0.72,13.77222222
0.67,16.01666667
0.54,17.14444444
0.55,17.8
0.51,17.33333333
0.47,18.87777778
0.46,18.91111111
0.6,15.38888889
0.63,15.55
0.69,14.25555556
0.7,13.14444444
0.77,11.55
0.76,11.18333333
0.79,10.11666667
0.77,10.2
0.62,10.42222222
0.66,7.566666667
0.8,11.18333333
0.79,5.044444444
0.82,4.816666667
0.83,4.272222222
0.85,5.155555556
0.83,5.527777778
0.78,7.933333333
0.72,12.22222222
0.61,15.09444444
0.52,17.35555556
0.46,19.00555556
0.4,20.04444444
0.4,21.05
0.37,21.18333333
0.4,20.11666667
0.36,20.21666667
0.43,20
0.5,17.8
0.53,16.06111111
0.55,15.02222222
0.58,14.42222222
0.59,14.25555556
0.6,13.77222222
0.63,13.28333333
0.87,5.466666667
0.83,11.25
0.89,11.18333333
0.95,10.69444444
0.93,11.11111111
0.93,11.11111111
0.82,12.16666667
0.79,12.75555556
0.84,13.83888889
0.73,16.18333333
0.67,17.51666667
0.67,17.38333333
0.71,17.36111111
0.74,17.20555556
0.81,15.63333333
0.9,13.57777778
0.86,10.91111111
0.99,5.294444444
0.93,5.777777778
0.96,4.605555556
0.96,3.722222222
0.96,4.65
0.96,5.072222222
0.93,4.372222222
0.82,6.183333333
0.93,5.038888889
0.93,2.616666667
0.93,3.222222222
0.93,1.65
0.93,1.633333333
0.93,1.494444444
0.8,2.688888889
0.86,3.233333333
0.84,3.544444444
0.77,5.161111111
0.71,6.644444444
0.71,6.55
0.71,11.06666667
0.76,10.11666667
0.66,11.03888889
0.7,10.65
0.7,10.05
0.66,7.716666667
0.71,6.816666667
0.72,5.405555556
0.72,6.122222222
0.75,6.211111111
0.75,6.005555556
0.88,5.438888889
0.76,4.55
0.7,3.161111111
0.73,2.694444444
0.76,2.8
0.76,2.438888889
0.76,2.922222222
0.71,3.833333333
0.73,4.244444444
0.72,4.816666667
0.7,6.072222222
0.7,7.583333333
0.65,9.077777778
0.62,9.05
0.65,9.05
0.65,9.183333333
0.7,7.455555556
0.75,6.811111111
0.75,6.433333333
0.82,6.127777778
0.83,4.805555556
0.84,5.183333333
0.85,4.111111111
0.88,3.411111111
0.88,8.338888889
0.91,4.111111111
0.94,2.566666667
0.93,3.705555556
0.92,5.211111111
0.92,4.638888889
0.87,6.055555556
0.76,10.05
0.66,12.2
0.63,12.7
0.58,13.93333333
0.59,15.09444444
0.5,15.15
0.44,16.17777778
0.55,16.25
0.5,16.29444444
0.56,16.1
0.68,12.95555556
0.64,13.85
0.69,12.77777778
0.72,12.15
0.81,10.67777778
0.83,10.44444444
0.8,9.466666667
0.74,11.02777778
0.93,7.138888889
0.89,5.644444444
0.86,6.611111111
0.86,4.855555556
0.84,7.038888889
0.84,7.383333333
0.72,12.10555556
0.71,12.77777778
0.65,13.81111111
0.48,16.01666667
0.47,17.12777778
0.43,17.14444444
0.4,17.77777778
0.37,17.77777778
0.43,17.80555556
0.52,16.15555556
0.63,14.05
0.67,13.08888889
0.72,12.28888889
0.66,12.77777778
0.67,12.72777778
0.69,12.26666667
0.71,11.71111111
0.86,10.82777778
0.59,12.2
0.6,12.2
0.68,11.68888889
0.77,11.20555556
